Country,BU,BU_CT_high,BU_CT_low,High,High_CT_high,High_CT_low,Low,Low_CT_high,Low_CT_low
MLI,0.0593906481582912,0.0894676991143624,0.0733896699518854,0.0592154973075958,0.0888128475269769,0.0723385370929913,0.0616572805468422,0.090899611307477,0.0726861889819809
MOZ,0.0421232210420938,0.046044946776975,0.0493383737150638,0.0439966427869883,0.044774551715972,0.0480145256218903,0.0407097837826692,0.0463699347138577,0.0474895764784753
MRT,0.0577404376298784,0.1113891524067469,0.0904221860081562,0.0577362490201373,0.1080906625636628,0.0897537309603727,0.0578698808622974,0.1154783992857373,0.0903113634516518
MWI,0.0500364184998053,0.033581552596896,0.0283094107360937,0.0534106371437526,0.0371231820823275,0.0373333601740452,0.0489169510643996,0.0330986482576413,0.0276248295337804
NAM,0.0495630224110969,0.0623002860033473,0.0780098814172981,0.0491400667124464,0.0631216295646087,0.078339953393038,0.0486282221914061,0.0636830105133262,0.0816856742646968
NER,0.0584833081972217,0.0651298573659747,0.0763506262929993,0.047523882523523,0.0718619437076516,0.0720968852406675,0.0489221813937697,0.0718456724435365,0.0649746060754482
NGA,0.0488654226945837,0.0798952681037475,0.0841702694226724,0.0503713193347339,0.0703846823661,0.0825747513460519,0.0490155525389442,0.073175108179498,0.0869877292503659
RWA,0.035885808102042,0.0389461870494059,0.0295459726202952,0.0433465465872295,0.0482035735990408,0.0497157066886359,0.0318274014995385,0.0353417071515987,0.0327182341197597
SDN,0.0491207748577753,0.058297659069617,0.062283647366153,0.0496536756606145,0.0583247320660544,0.0633179661071421,0.0489865081724811,0.0582349907094701,0.0621025981896546
SEN,0.0557689199254137,0.087897816008406,0.074784870762501,0.0557400340682886,0.086080502639921,0.0731224476700477,0.0567358924666953,0.0953591052377634,0.0763297657625423
SLE,0.0380324955542126,0.0505717262051366,0.0434006352956738,0.0388478393608852,0.0465111505051996,0.0422828576421027,0.0495188093713665,0.0533507589856914,0.0455066714594343
SOM,0.0537709645711021,0.0455344614638172,0.0535221085882115,0.0537709645711021,0.0455344871175394,0.0535221503435466,0.0491643653819073,0.0436026542951155,0.0512221508272654
SSD,0.0556963990922278,0.0833152879864034,0.0691241678599796,0.0546746246386313,0.0819128424227,0.0683979282234119,0.0561413364256861,0.0839607418989253,0.0694372018884448
SWZ,0.048427811361205,0.0493087591348718,0.0565926907853757,0.047805267384607,0.049348802782181,0.0551181530506142,0.0489675771873777,0.0492980112219616,0.0576419639577266
TCD,0.0248016366892799,0.0343810473160537,0.0306680531553449,0.0247857800512733,0.0341398440384829,0.0305092723935629,0.0301870629502847,0.0529487509235267,0.0396928129818293
TGO,0.051398239469,0.0628570699798564,0.051545178647019,0.0532954187045349,0.0603678648359031,0.0538468978781745,0.0483661716355527,0.0553524397360837,0.0487684664009661
TUN,0.0636120882997661,0.1258043656166244,0.0979995652483052,0.0636120882997661,0.1258043656166244,0.0979995652483052,0.0636472322040711,0.1275046153750503,0.0972915107758487
TZA,0.0451224239052161,0.0575161082810915,0.0550352749761165,0.0441906531260962,0.0555362274676724,0.0527846344488197,0.0460158287323237,0.0633567213726823,0.0612417199406381
UGA,0.0279989868090967,0.0261746827178397,0.0289306254907602,0.0389763530195378,0.0419787191494069,0.0473236621882642,0.0216396766642033,0.021272667868059,0.020517117423908
ZAF,0.0390521862461975,0.1210834425262541,0.1404494285078898,0.0391752393529067,0.1189524672936869,0.1386133015354996,0.0390030179095177,0.1237919596474432,0.1426759671926591
ZMB,0.0295040851373095,0.0343809100889335,0.0419651252114947,0.0322712342721151,0.0359052542754555,0.039590563314146,0.0296239948556297,0.036617530809335,0.0439031216736309
